time	I(R1)	I(R4)
1.588350608750352e-001	1.144478e-003	5.093090e-004
1.588398763566190e-001	1.198943e-003	5.513012e-004
1.588434225897664e-001	1.222146e-003	5.718104e-004
1.588467461949124e-001	1.235718e-003	5.841975e-004
1.588499295295120e-001	1.241745e-003	5.900410e-004
1.588529738073893e-001	1.240054e-003	5.891267e-004
1.588578395887557e-001	1.221123e-003	5.739349e-004
1.588657157008802e-001	1.143254e-003	5.191565e-004
1.588769154068267e-001	8.846357e-004	3.909894e-004
1.588895088126687e-001	3.828047e-004	1.985541e-004
1.588983346367443e-001	-5.549181e-005	4.340941e-005
1.589067149281018e-001	-4.858575e-004	-1.083509e-004
1.589152013356246e-001	-8.928099e-004	-2.513675e-004
1.589261507316366e-001	-1.336079e-003	-4.065454e-004
1.589360493618056e-001	-1.643105e-003	-5.139204e-004
1.589405954453165e-001	-1.739755e-003	-5.478112e-004
1.589439605368483e-001	-1.784210e-003	-5.634457e-004
1.589473944949100e-001	-1.807521e-003	-5.716601e-004
1.589520297545346e-001	-1.809249e-003	-5.723414e-004
1.589563042228084e-001	-1.777370e-003	-5.613351e-004
1.589632394381367e-001	-1.654238e-003	-5.189887e-004
1.589739095774784e-001	-1.339159e-003	-4.114582e-004
1.589862327861489e-001	-8.400906e-004	-2.419268e-004
1.589955550888934e-001	-3.919242e-004	-8.983019e-005
1.590039852711003e-001	3.755675e-005	5.582273e-005
1.590126537515300e-001	4.611209e-004	1.996741e-004
1.590224615281301e-001	8.334255e-004	3.401765e-004
1.590349344504143e-001	1.112220e-003	4.825322e-004
1.590397847509464e-001	1.168406e-003	5.229199e-004
1.590433541981333e-001	1.191266e-003	5.427307e-004
1.590466640049020e-001	1.204553e-003	5.546861e-004
1.590497556318762e-001	1.210400e-003	5.602993e-004
1.590529091713885e-001	1.208916e-003	5.596442e-004
1.590577345140453e-001	1.191016e-003	5.457381e-004
1.590655465715547e-001	1.113167e-003	4.947425e-004
1.590766735061143e-001	8.517244e-004	3.747463e-004
1.590892240544629e-001	3.486959e-004	1.935468e-004
1.590980727112468e-001	-9.067822e-005	4.621235e-005
1.591064655842954e-001	-5.218590e-004	-9.811210e-005
1.591149746375877e-001	-9.312131e-004	-2.347108e-004
1.591258132766819e-001	-1.372319e-003	-3.813916e-004
1.591359228462107e-001	-1.688337e-003	-4.864081e-004
1.591405031333609e-001	-1.786716e-003	-5.192151e-004
1.591438913733072e-001	-1.831957e-003	-5.343738e-004
1.591473109670619e-001	-1.855536e-003	-5.423193e-004
1.591519985273708e-001	-1.857710e-003	-5.431985e-004
1.591562534143056e-001	-1.826381e-003	-5.330088e-004
1.591631573247742e-001	-1.704491e-003	-4.933389e-004
1.591737916905925e-001	-1.391711e-003	-3.921783e-004
1.591860911782991e-001	-8.948630e-004	-2.321270e-004
1.591954278067259e-001	-4.465451e-004	-8.779085e-005
1.592038593827939e-001	-1.699374e-005	5.044426e-005
1.592125395025159e-001	4.087106e-004	1.873473e-004
1.592222825246576e-001	7.858894e-004	3.202515e-004
1.592347166869032e-001	1.078312e-003	4.556378e-004
1.592396271602437e-001	1.137814e-003	4.947654e-004
1.592432366180430e-001	1.160651e-003	5.140501e-004
1.592465220362819e-001	1.173555e-003	5.254475e-004
1.592498936823360e-001	1.179731e-003	5.313230e-004
1.592529604835702e-001	1.178231e-003	5.307000e-004
1.592578179296791e-001	1.160217e-003	5.171940e-004
1.592656808425340e-001	1.078034e-003	4.681442e-004
1.592768062516562e-001	8.054334e-004	3.538722e-004
1.592893882957451e-001	2.935197e-004	1.812808e-004
1.592982704663708e-001	-1.484832e-004	4.102901e-005
1.593066736905155e-001	-5.799297e-004	-9.581069e-005
1.593151901540346e-001	-9.884464e-004	-2.250207e-004
1.593260910060796e-001	-1.429982e-003	-3.642461e-004
1.593360223544517e-001	-1.738300e-003	-4.614696e-004
1.593405757327424e-001	-1.835253e-003	-4.921777e-004
1.593439457649051e-001	-1.879840e-003	-5.063878e-004
1.593473766507796e-001	-1.903173e-003	-5.138952e-004
1.593520230844052e-001	-1.904947e-003	-5.146781e-004
1.593562933702027e-001	-1.873142e-003	-5.049451e-004
