time	V(salida)	V(vi)
Step Information: C=100n  (Run: 1/5)
5.194411354410542e-003	1.049600e-002	4.680442e-001
5.213942604410542e-003	6.873163e-003	4.853909e-001
5.233473854410541e-003	3.147998e-003	4.956907e-001
5.250361905007092e-003	-1.154351e-004	4.987307e-001
5.265589296433446e-003	-3.057152e-003	4.961455e-001
5.285120546433445e-003	-6.781697e-003	4.860411e-001
5.304651796433445e-003	-1.040575e-002	4.690395e-001
5.324183046433445e-003	-1.387279e-002	4.449830e-001
5.343714296433444e-003	-1.713059e-002	4.142336e-001
5.363245546433444e-003	-2.013014e-002	3.772538e-001
5.382776796433443e-003	-2.282634e-002	3.345996e-001
5.402308046433443e-003	-2.517868e-002	2.869129e-001
5.421839296433442e-003	-2.715182e-002	2.349106e-001
5.441370546433442e-003	-2.871616e-002	1.793751e-001
5.460901796433442e-003	-2.984827e-002	1.211416e-001
5.480433046433441e-003	-3.053122e-002	6.108609e-002
5.499964296433441e-003	-3.075482e-002	1.117445e-004
5.519495546433440e-003	-3.051583e-002	-6.086428e-002
5.539026796433440e-003	-2.981794e-002	-1.209249e-001
5.558558046433440e-003	-2.867171e-002	-1.791666e-001
5.578089296433439e-003	-2.709444e-002	-2.347135e-001
5.597620546433439e-003	-2.510989e-002	-2.867301e-001
5.617151796433438e-003	-2.274792e-002	-3.344341e-001
5.636683046433438e-003	-2.004401e-002	-3.771078e-001
5.656214296433437e-003	-1.703878e-002	-4.141095e-001
5.675745546433437e-003	-1.377735e-002	-4.448825e-001
5.695276796433437e-003	-1.030866e-002	-4.689642e-001
5.714808046433436e-003	-6.684764e-003	-4.859921e-001
5.734339296433436e-003	-2.960602e-003	-4.959120e-001
5.751770992768143e-003	4.049343e-004	-4.985843e-001
5.767883717378743e-003	3.512147e-003	-4.953065e-001
5.787414967378743e-003	7.225003e-003	-4.844188e-001
5.806946217378742e-003	1.083163e-002	-4.665731e-001
5.826477467378742e-003	1.427600e-002	-4.417096e-001
5.846008717378741e-003	1.750628e-002	-4.102025e-001
5.865539967378741e-003	2.047384e-002	-3.725255e-001
5.885071217378740e-003	2.313399e-002	-3.292454e-001
5.904602467378740e-003	2.544664e-002	-2.810131e-001
5.924133717378740e-003	2.737691e-002	-2.285541e-001
5.943664967378739e-003	2.889567e-002	-1.726574e-001
5.963196217378739e-003	2.997997e-002	-1.141639e-001
5.982727467378738e-003	3.061341e-002	-5.395316e-002
6.002258717378738e-003	3.078636e-002	7.069050e-003
6.021789967378738e-003	3.049615e-002	6.798494e-002
6.041321217378737e-003	2.974709e-002	1.278783e-001
6.060852467378737e-003	2.855043e-002	1.858482e-001
6.080383717378736e-003	2.692413e-002	2.410228e-001
6.099914967378736e-003	2.489266e-002	2.925722e-001
6.119446217378735e-003	2.248660e-002	3.397210e-001
6.138977467378735e-003	1.974219e-002	3.817601e-001
6.158508717378735e-003	1.670076e-002	4.180572e-001
6.178039967378734e-003	1.340811e-002	4.480663e-001
6.197571217378734e-003	9.913854e-003	4.713361e-001
6.217102467378733e-003	6.270623e-003	4.875165e-001
6.236633717378733e-003	2.533294e-003	4.963643e-001
6.256164967378733e-003	-1.242136e-003	4.978094e-001
6.275037562015907e-003	-4.872608e-003	4.920318e-001
6.294568812015906e-003	-8.556113e-003	4.787161e-001
6.314100062015906e-003	-1.211092e-002	4.582631e-001
6.333631312015906e-003	-1.548305e-002	4.309174e-001
6.353162562015905e-003	-1.862178e-002	3.970903e-001
6.372693812015905e-003	-2.147991e-002	3.572906e-001
6.392225062015904e-003	-2.401447e-002	3.121169e-001
6.411756312015904e-003	-2.618740e-002	2.622487e-001
6.431287562015903e-003	-2.796608e-002	2.084360e-001
6.450818812015903e-003	-2.932382e-002	1.514882e-001
6.470350062015903e-003	-3.024031e-002	9.226193e-002
6.489881312015902e-003	-3.070185e-002	3.164793e-002
6.509412562015902e-003	-3.070162e-002	-2.944207e-002
6.528943812015901e-003	-3.023970e-002	-9.008924e-002
6.548475062015901e-003	-2.932315e-002	-1.493814e-001
6.568006312015901e-003	-2.796579e-002	-2.064267e-001
6.587537562015900e-003	-2.618811e-002	-2.603672e-001
6.607068812015900e-003	-2.401686e-002	-3.103914e-001
6.626600062015899e-003	-2.148467e-002	-3.557472e-001
6.646131312015899e-003	-1.862959e-002	-3.957521e-001
6.665662562015898e-003	-1.549449e-002	-4.298046e-001
6.685193812015898e-003	-1.212644e-002	-4.573924e-001
6.704725062015898e-003	-8.575964e-003	-4.781006e-001
6.724256312015897e-003	-4.896355e-003	-4.916177e-001
6.743787562015897e-003	-1.142803e-003	-4.978009e-001
6.762689960767490e-003	2.507339e-003	-4.965978e-001
6.782221210767490e-003	6.241310e-003	-4.879465e-001
6.801752460767490e-003	9.882087e-003	-4.720166e-001
6.821283710767489e-003	1.337482e-002	-4.489870e-001
6.840814960767489e-003	1.666695e-002	-4.192043e-001
6.860346210767488e-003	1.970895e-002	-3.831164e-001
6.879877460767488e-003	2.245499e-002	-3.412660e-001
6.899408710767488e-003	2.486371e-002	-2.942827e-001
6.918939960767487e-003	2.689879e-002	-2.428731e-001
6.938471210767487e-003	2.852951e-002	-1.878104e-001
6.958002460767486e-003	2.973125e-002	-1.299229e-001
6.977533710767486e-003	3.048583e-002	-7.008125e-002
6.997064960767485e-003	3.078181e-002	-9.185506e-003
7.016596210767485e-003	3.061466e-002	5.184840e-002
7.036127460767485e-003	2.998684e-002	1.121024e-001
7.055658710767484e-003	2.890774e-002	1.706704e-001
7.075189960767484e-003	2.739359e-002	2.266713e-001
7.094721210767483e-003	2.546715e-002	2.792628e-001
7.114252460767483e-003	2.315742e-002	3.276540e-001
7.133783710767483e-003	2.049918e-002	3.711169e-001
7.153314960767482e-003	1.753245e-002	4.089979e-001
7.172846210767482e-003	1.430194e-002	4.407272e-001
7.192377460767481e-003	1.085629e-002	4.658276e-001
7.211908710767481e-003	7.247425e-003	4.839214e-001
7.231439960767480e-003	3.531154e-003	4.951127e-001
7.247050186702636e-003	5.174812e-004	4.986171e-001
7.263903502947533e-003	-2.740410e-003	4.964778e-001
7.283434752947533e-003	-6.471847e-003	4.871687e-001
7.302966002947532e-003	-1.010684e-002	4.707895e-001
7.322497252947532e-003	-1.358947e-002	4.473292e-001
7.342028502947531e-003	-1.686726e-002	4.171406e-001
7.361559752947531e-003	-1.989087e-002	3.806779e-001
7.381091002947531e-003	-2.261486e-002	3.384894e-001
7.400622252947530e-003	-2.499828e-002	2.912097e-001
7.420153502947530e-003	-2.700534e-002	2.395500e-001
7.439684752947529e-003	-2.860592e-002	1.842872e-001
7.459216002947529e-003	-2.977604e-002	1.262525e-001
7.478747252947528e-003	-3.049818e-002	6.631891e-002
7.498278502947528e-003	-3.076160e-002	5.387801e-003
7.517809752947528e-003	-3.056243e-002	-5.562434e-002
7.537341002947527e-003	-2.990375e-002	-1.157998e-001
7.556872252947527e-003	-2.879557e-002	-1.742336e-001
7.576403502947526e-003	-2.725459e-002	-2.300467e-001
7.595934752947526e-003	-2.530404e-002	-2.823997e-001
7.615466002947526e-003	-2.297325e-002	-3.305052e-001
7.634997252947525e-003	-2.029726e-002	-3.736396e-001
7.654528502947525e-003	-1.731625e-002	-4.111540e-001
7.674059752947524e-003	-1.407498e-002	-4.424843e-001
7.693591002947524e-003	-1.062210e-002	-4.671593e-001
7.713122252947523e-003	-7.009414e-003	-4.848077e-001
7.732653502947523e-003	-3.292187e-003	-4.954673e-001
7.749026180598178e-003	-1.328357e-004	-4.987304e-001
7.764638045556031e-003	2.881407e-003	-4.963911e-001
7.784169295556031e-003	6.606911e-003	-4.866841e-001
7.803700545556030e-003	1.023529e-002	-4.700334e-001
7.823231795556031e-003	1.371035e-002	-4.463131e-001
7.842763045556030e-003	1.697973e-002	-4.158797e-001
7.862294295556030e-003	1.999421e-002	-3.791911e-001
7.881825545556030e-003	2.270841e-002	-3.367992e-001
7.901356795556029e-003	2.508143e-002	-2.893414e-001
7.920888045556029e-003	2.707748e-002	-2.375318e-001
7.940419295556028e-003	2.866643e-002	-1.821494e-001
7.959950545556028e-003	2.982430e-002	-1.240273e-001
7.979481795556027e-003	3.053356e-002	-6.403972e-002
7.999013045556027e-003	3.078345e-002	-3.088931e-003
8.018544295556027e-003	3.057015e-002	5.790832e-002
8.038075545556026e-003	2.989680e-002	1.180346e-001
8.057606795556026e-003	2.877349e-002	1.763855e-001
8.077138045556025e-003	2.721711e-002	2.320834e-001
8.096669295556025e-003	2.525105e-002	2.842905e-001
8.116200545556025e-003	2.290493e-002	3.322217e-001
8.135731795556024e-003	2.021405e-002	3.751559e-001
8.155263045556024e-003	1.721896e-002	4.124475e-001
8.174794295556023e-003	1.396476e-002	4.435354e-001
8.194325545556023e-003	1.050047e-002	4.679522e-001
8.213856795556022e-003	6.878289e-003	4.853305e-001
8.233388045556022e-003	3.154159e-003	4.958305e-001
8.248527651729370e-003	2.290367e-004	4.987898e-001
8.264452742236212e-003	-2.848915e-003	4.964139e-001
8.283983992236212e-003	-6.577914e-003	4.868073e-001
8.303515242236211e-003	-1.020933e-002	4.702251e-001
8.323046492236211e-003	-1.368689e-002	4.465703e-001
8.342577742236210e-003	-1.695817e-002	4.161986e-001
