Freq.	V(salida)
Step Information: C=100n  (Run: 1/5)
2.95120922666635e+003	1.47512062810888e-002,8.85929815038551e-002
3.01995172040198e+003	1.55146664185207e-002,9.05105303245041e-002
3.09029543251356e+003	1.63114425349264e-002,9.24626290075254e-002
3.16227766016835e+003	1.71428620392460e-002,9.44494250465963e-002
3.23593656929625e+003	1.80102936078754e-002,9.64710292733065e-002
3.31131121482588e+003	1.89151473621591e-002,9.85275129101610e-002
3.38844156139199e+003	1.98588749221253e-002,1.00618904486072e-001
3.46736850452528e+003	2.08429693227619e-002,1.02745186613991e-001
3.54813389233572e+003	2.18689647783056e-002,1.04906292631172e-001
3.63078054770097e+003	2.29384362791961e-002,1.07102103103495e-001
3.71535229097168e+003	2.40529990055399e-002,1.09332442196346e-001
3.80189396320557e+003	2.52143075401493e-002,1.11597073915759e-001
3.89045144994276e+003	2.64240548634737e-002,1.13895698224843e-001
3.98107170553493e+003	2.76839711120525e-002,1.16227947042002e-001
4.07380277804108e+003	2.89958220814918e-002,1.18593380129073e-001
4.16869383470331e+003	3.03614074544271e-002,1.20991480879296e-001
4.26579518801588e+003	3.17825587335002e-002,1.23421652016961e-001
4.36515832240161e+003	3.32611368590696e-002,1.25883211222659e-001
4.46683592150958e+003	3.47990294912141e-002,1.28375386700347e-001
4.57088189614870e+003	3.63981479356057e-002,1.30897312704824e-001
4.67735141287193e+003	3.80604236930428e-002,1.33448025050788e-001
4.78630092322633e+003	3.97878046128860e-002,1.36026456627357e-001
4.89778819368441e+003	4.15822506313408e-002,1.38631432944768e-001
5.01187233627267e+003	4.34457290765349e-002,1.41261667742936e-001
5.12861383991359e+003	4.53802095236516e-002,1.43915758694591e-001
5.24807460249767e+003	4.73876581850607e-002,1.46592183238856e-001
5.37031796370247e+003	4.94700318224424e-002,1.49289294584268e-001
5.49540873857618e+003	5.16292711703754e-002,1.52005317923431e-001
5.62341325190343e+003	5.38672938637769e-002,1.54738346904606e-001
5.75439937337150e+003	5.61859868649675e-002,1.57486340408578e-001
5.88843655355582e+003	5.85871983900073e-002,1.60247119682045e-001
6.02559586074351e+003	6.10727293383327e-002,1.63018365881460e-001
6.16595001861475e+003	6.36443242346181e-002,1.65797618083658e-001
6.30957344480186e+003	6.63036616972036e-002,1.68582271821696e-001
6.45654229034648e+003	6.90523444533570e-002,1.71369578205937e-001
6.60693448007588e+003	7.18918889280602e-002,1.74156643691573e-001
6.76082975391974e+003	7.48237144399028e-002,1.76940430554273e-001
6.91830970918928e+003	7.78491320449782e-002,1.79717758135510e-001
7.07945784384129e+003	8.09693330773645e-002,1.82485304918161e-001
7.24435960074981e+003	8.41853774427538e-002,1.85239611491163e-001
7.41310241300908e+003	8.74981817299904e-002,1.87977084459264e-001
7.58577575029174e+003	9.09085072135780e-002,1.90694001350068e-001
7.76247116628682e+003	9.44169478285076e-002,1.93386516565727e-001
7.94328234724272e+003	9.80239182068914e-002,1.96050668420535e-001
8.12830516164089e+003	1.01729641873728e-001,1.98682387298441e-001
8.31763771102661e+003	1.05534139706485e-001,2.01277504956026e-001
8.51138038202366e+003	1.09437218769903e-001,2.03831764986771e-001
8.70963589956070e+003	1.13438461643299e-001,2.06340834451566e-001
8.91250938133734e+003	1.17537216362500e-001,2.08800316668375e-001
9.12010839355898e+003	1.21732587102145e-001,2.11205765140860e-001
9.33254300796979e+003	1.26023425726300e-001,2.13552698591759e-001
